Hey!皮克敏	( 527113 KB)
马里奥网球 OPEN	( 266388 KB)
马里奥医生	( 69525 KB)
马里奥与路易吉RPG 纸片马里奥MIX	( 446685 KB)
马里奥与路易吉RPG1 DX	( 542364 KB)
马里奥与路易吉RPG3 DX	( 692165 KB)
马里奥与路易吉RPG4	( 849616 KB)
马里奥制造	( 381646 KB)
毛线卡比 Plus	( 1499505 KB)
蘑菇队长	( 445399 KB)
牧场物语 连接新天地	( 598878 KB)
牧场物语 起源的大地	( 349151 KB)
牧场物语 三个村庄的重要伙伴们	( 695641 KB)
牧场物语 双子村+	( 236946 KB)
脑锻炼 5分钟魔鬼特训	( 297963 KB)
逆转裁判123 成步堂精选集	( 382132 KB)
逆转裁判4	( 351448 KB)
逆转裁判5	( 633729 KB)
逆转裁判6	( 893097 KB)
女神异闻录Q 迷宫暗影	( 1882213 KB)
任天堂明星大乱斗	( 1160580 KB)
热血物语SP	( 179837 KB)
塞尔达传说 姆祖拉的假面	( 645067 KB)
塞尔达传说 三角力量英雄	( 538984 KB)
塞尔达传说 时之笛3D	( 457261 KB)
塞尔达传说 众神的三角力量2	( 698316 KB)
塞尔达无双 海拉尔全明星	( 2066235 KB)
桑塔与海盗的诅咒	( 304928 KB)
山脊赛车3D	( 806342 KB)
生化危机 启示录	( 3305594 KB)
世界树迷宫4 传承的巨神	( 734265 KB)
世界树与不可思议的迷宫	( 558396 KB)
死或生 多重维度	( 1412847 KB)
索尼克世代 青之冒险	( 670218 KB)
太鼓达人1 小龙与神秘宝珠	( 197556 KB)
太鼓达人3 神秘大冒险	( 474084 KB)
泰拉瑞亚3D	( 62916 KB)
推拉方块 Pushmo	( 133160 KB)
瓦里奥制造 豪华版	( 1261527 KB)
王国之心 梦中陨落	( 1830963 KB)
未解决事件搜查科 遥远的记忆	( 205661 KB)
为我而生2 七星的引导和马兹尔的噩梦	( 1550656 KB)
新爱相随+	( 1690500 KB)
新超级马里奥兄弟2 黄金版	( 354844 KB)
星光幻歌	( 1666557 KB)
星际火狐64 3D	( 576360 KB)
新光之神话 帕鲁迪娜之境	( 1663569 KB)
星之卡比 皇家大乱斗	( 216758 KB)
星之卡比 机械星球	( 680731 KB)
星之卡比 三重彩	( 604583 KB)
星之卡比 吸入大作战	( 98063 KB)
新耀西岛	( 413689 KB)
血污 月之诅咒	( 23795 KB)
妖怪手表1	( 813822 KB)
妖怪手表2 元祖	( 1939716 KB)
妖怪手表2 真打	( 2734103 KB)
压碎空间3D	( 360444 KB)
遗产传说	( 835334 KB)
异度之刃3D	( 3588296 KB)
银河战士 萨姆斯归来	( 716580 KB)
一起来吧!动物之森 amiibo+	( 868129 KB)
以撒的结合 重生	( 526466 KB)
永恒绿洲	( 880946 KB)
勇气默示录1	( 3392787 KB)
勇气默示录2	( 1862355 KB)
勇者斗恶龙 怪兽篇1	( 742871 KB)
勇者斗恶龙 怪兽篇2	( 1866476 KB)
勇者斗恶龙 怪兽篇Joker3 专家版	( 1566843 KB)
勇者斗恶龙1	( 64484 KB)
勇者斗恶龙11	( 2628992 KB)
勇者斗恶龙2	( 83419 KB)
勇者斗恶龙3	( 158756 KB)
勇者斗恶龙7	( 1448552 KB)
勇者斗恶龙8	( 3567806 KB)
蒸汽世界 大劫掠	( 183836 KB)
真女神转生 恶魔召唤师 灵魂黑客	( 1701334 KB)
真女神转生 深渊奇妙之旅	( 1805313 KB)
真女神转生4 Final	( 1935466 KB)
纸片马里奥 超级贴纸	( 536843 KB)
纸箱战机	( 1997863 KB)
重装机兵4	( 912583 KB)
最终幻想 探索者	( 642780 KB)
